DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2013,101,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2014,98.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2015,97.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2016,99.3,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2017,100.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2018,103.4,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2019,101.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2020,96.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2021,99.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2022,97.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2000,89.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2001,92.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2002,93.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2003,98.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2004,97.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2005,100,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2006,102.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2007,105.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2008,102,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2009,97.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2010,90.6,
